"anon_subr_bfd_boolean_bfd_ptr_bfd_architecture_ulong_for__bfd_set_arch_mach" : 2 
"z_stream_s" : 19 
"debug_prefix_map" : 16 
"anon_subr_size_t_sb_ptr" : 3 
"anon_subr_void_char_ptr_void_ptr" : 1 
"char[128]" : 3 
"char[120]" : 1 
"cfi_escape_data" : 15 
"ptrdiff_t" : 6 
"fixS" : 8 
"cie_info" : 2 
"pseudo_typeS" : 7 
"tm" : 4 
"operator_rankT" : 1 
"cfa_save_data" : 9 
